Incident.year,Latitude,Longitude,Victim.injury,Species.clean,Activity.clean,State,Location,Provoked.unprovoked,Decade
1891,-36.71666667,149.9833333,uninjured,Wobbegong,Diving,NSW,tathra wharf,provoked,1890
1891,-38.33333333,144.3166667,injured,Wobbegong,Snorkelling,VIC,point danger of torquay,provoked,1890
1892,-10.11666667,142.1333333,fatal,Tiger Shark,Diving,QLD,"torres strait, badu island",provoked,1890
1892,-23.36666667,150.5,injured,Bull Shark,Swimming,QLD,"rockhampton, fitzroy river",unprovoked,1890
1892,-27.45,153.2166667,injured,Whaler Shark,Swimming,QLD,"moreton bay, wellington point",unprovoked,1890
1892,-27.43333333,153.0833333,injured,Bull Shark,Swimming,QLD,brisbane river,unprovoked,1890
1893,-28.76666667,114.6,uninjured,Wobbegong,Fishing,WA,geraldton,provoked,1890
1893,-13.93333333,143.7333333,fatal,Tiger Shark,Swimming,QLD,claremont isles national park,unprovoked,1890
1893,-9.816666667,142.7,injured,Tiger Shark,Swimming,QLD,"torres strait, cap island",unprovoked,1890
1894,-32.91666667,151.7833333,injured,White Shark,Swimming,NSW,newcastle beach,unprovoked,1890
1895,-27.46666667,153.0,uninjured,Bull Shark,Boating,QLD,brisbane river,unprovoked,1890
1895,-33.93333333,151.25,fatal,Bull Shark,Swimming,NSW,"leichhardt, sydney harbour",unprovoked,1890
1895,-24.9,152.2333333,injured,Bull Shark,Swimming,QLD,"burnett river, sharon",unprovoked,1890
1895,-20.78333333,115.5333333,fatal,Tiger Shark,Diving,WA,barrow island,provoked,1890
1895,-35.13333333,150.75,fatal,Whaler Shark,Swimming,NSW,"jervis bay, cape st george lighthouse",provoked,1890
1895,-10.56666667,142.2166667,uninjured,Tiger Shark,Diving,QLD,"thursday island, torre strait",provoked,1890
1895,-33.85,151.15,fatal,Bull Shark,Swimming,NSW,"iron cove bridge, sydney",unprovoked,1890
1896,-33.86666667,151.1833333,fatal,Bull Shark,Swimming,NSW,"pyrmont baths, sydney",unprovoked,1890
1896,-33.85,121.8833333,fatal,White Shark,Swimming,WA,esperance,unprovoked,1890
1897,-31.06666667,152.8333333,injured,Bull Shark,Swimming,NSW,"macleay river, kempsey",unprovoked,1890
1897,-9.95,142.1833333,injured,Tiger Shark,Swimming,QLD,"torres strait, mabuiag island ",unprovoked,1890
1898,-32.71666667,152.1166667,injured,Bull Shark,Fishing,NSW,"port stephens, nelson's bay",provoked,1890
1898,-27.46666667,153.2166667,injured,Whaler Shark,Fishing,QLD,"moreton bay, wellington point",provoked,1890
1899,-33.78333333,151.2166667,injured,Bull Shark,Swimming,NSW,"sugar loaf bay, sydney harbour",unprovoked,1890
1899,-27.55,153.1833333,injured,Bull Shark,Swimming,QLD,"moreton bay, tingalpa creek, near wynnum",unprovoked,1890
1900,-33.85,151.15,injured,Bull Shark,Swimming,NSW,"iron cove bridge, sydney",unprovoked,1900
1900,-11.6,130.95,injured,Tiger Shark,Swimming,NT,melville island,unprovoked,1900
1900,-19.25,146.8166667,injured,Tiger Shark,Swimming,QLD,townsville harbour,unprovoked,1900
1900,-10.55,142.3833333,fatal,Unknown,Snorkelling,QLD,torres strait (unknown location),provoked,1900
1900,-33.78333333,151.2333333,fatal,Bull Shark,Swimming,NSW,"middle harbour, folly point, sydney harbour",unprovoked,1900
1901,-11.6,130.95,injured,Tiger Shark,Swimming,NT,melville island,unprovoked,1900
1901,-27.46666667,153.0,fatal,Bull Shark,Swimming,QLD,"brisbane river, rowing club",unprovoked,1900
1901,-16.85,145.75,injured,Wobbegong,Swimming,QLD,barron river mouth,provoked,1900
